symbol,month,monthly_return,direction
INFY,2024-11,0.0803021268137547,gainer
HCLTECH,2024-11,0.08023216114714926,gainer
M&M,2024-11,0.06931308004897696,gainer
TCS,2024-11,0.06535816475076572,gainer
TATASTEEL,2023-10,-0.072265625,loser
TECHM,2023-10,-0.06828646604176936,loser
SBIN,2023-10,-0.062028360560577256,loser
BAJFINANCE,2023-10,-0.05961017119333312,loser
APOLLOHOSP,2023-10,-0.058420183826761396,loser
BAJFINANCE,2023-11,-0.04684216865857416,loser
SBIN,2023-11,-0.002913135593220262,loser
CIPLA,2023-11,0.009198751300728336,loser
NESTLEIND,2023-11,0.015222408860330106,loser
ITC,2023-11,0.01798645176360658,loser
HDFCLIFE,2023-12,-0.05196804221945306,loser
MARUTI,2023-12,-0.026771965954070276,loser
AXISBANK,2023-12,-0.00212737066039026,loser
BAJAJFINSV,2023-12,-8.89706100418719e-05,loser
SBILIFE,2023-12,0.0062866575352087395,loser
HDFCBANK,2024-01,-0.13871385666332958,loser
ASIANPAINT,2024-01,-0.12904508112246404,loser
HDFCLIFE,2024-01,-0.11114536765839378,loser
NESTLEIND,2024-01,-0.08447925647732746,loser
JSWSTEEL,2024-01,-0.06717183226982681,loser
HINDALCO,2024-02,-0.11798687089715532,loser
ITC,2024-02,-0.08263716414540523,loser
KOTAKBANK,2024-02,-0.07313125771499107,loser
INDUSINDBK,2024-02,-0.04298737955422893,loser
HDFCBANK,2024-02,-0.042929723463020264,loser
INFY,2024-03,-0.09466972865171941,loser
TATACONSUM,2024-03,-0.08726586077251186,loser
WIPRO,2024-03,-0.07513003274898866,loser
HCLTECH,2024-03,-0.06115808040873427,loser
HINDUNILVR,2024-03,-0.06031871187284721,loser
HCLTECH,2024-04,-0.12211729941543015,loser
KOTAKBANK,2024-04,-0.09312000893505334,loser
HDFCLIFE,2024-04,-0.080504135486412,loser
APOLLOHOSP,2024-04,-0.07900422006272012,loser
SUNPHARMA,2024-04,-0.07804204388522329,loser
TATAMOTORS,2024-05,-0.10196536291107217,loser
TITAN,2024-05,-0.09151031960655176,loser
SHRIRAMFIN,2024-05,-0.08831958483404967,loser
DRREDDY,2024-05,-0.07883101391650105,loser
ONGC,2024-05,-0.0652404526166902,loser
ADANIENT,2024-06,-0.12841368904739037,loser
LT,2024-06,-0.08947564245666717,loser
BPCL,2024-06,-0.08745646691485531,loser
COALINDIA,2024-06,-0.07651019810676307,loser
ADANIPORTS,2024-06,-0.06682660437513821,loser
AXISBANK,2024-07,-0.07591726761233075,loser
BAJFINANCE,2024-07,-0.06456178926031542,loser
HDFCBANK,2024-07,-0.05245718977246072,loser
TATASTEEL,2024-07,-0.05020968575860274,loser
NESTLEIND,2024-07,-0.04351466064405596,loser
MARUTI,2024-08,-0.07156571762213626,loser
ADANIPORTS,2024-08,-0.06807533880451533,loser
POWERGRID,2024-08,-0.06563278870119094,loser
TATASTEEL,2024-08,-0.06316693241751514,loser
ADANIENT,2024-08,-0.06151216100707124,loser
TATAMOTORS,2024-09,-0.10799432572186896,loser
ONGC,2024-09,-0.08767627222562835,loser
TCS,2024-09,-0.055860917264794696,loser
INFY,2024-09,-0.04525324510053452,loser
TECHM,2024-09,-0.04217654024838313,loser
INDUSINDBK,2024-10,-0.2511881960700859,loser
BAJAJ-AUTO,2024-10,-0.1909240835866075,loser
NESTLEIND,2024-10,-0.16405312055558652,loser
TATACONSUM,2024-10,-0.16192267502612334,loser
MARUTI,2024-10,-0.15870803584991644,loser
ADANIENT,2024-11,-0.2446177318189524,loser
ADANIPORTS,2024-11,-0.1847748135398738,loser
ASIANPAINT,2024-11,-0.15907274180655484,loser
BRITANNIA,2024-11,-0.1483738944853813,loser
NTPC,2024-11,-0.1115838094080468,loser
